"","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel354","6.309964e-08","2.318878e-02","1.242557e-08","2.077113e-08","1.097975e-01","6.239709e-03","1.068600e-06","8.607728e-01"
"mel432","5.371025e-02","2.217673e-02","2.651135e-01","1.774601e-01","1.132104e-01","1.562228e-02","3.471369e-10","3.527067e-01"
"mel243","6.987282e-02","1.970769e-02","2.498706e-01","9.722122e-02","1.499292e-01","1.185291e-02","1.552312e-09","4.015456e-01"
"mel321","3.355281e-09","2.587257e-02","5.301670e-02","1.546591e-04","1.787878e-01","7.887200e-03","5.631009e-07","7.342805e-01"
"mel218","4.297526e-10","2.426650e-02","1.502089e-01","2.057413e-07","1.215571e-01","1.142025e-02","4.972481e-06","6.925421e-01"
"mel302","2.915411e-02","2.620204e-02","2.605179e-01","1.655077e-01","2.075803e-01","1.461601e-02","1.066171e-08","2.964219e-01"
"mel383","1.760456e-09","2.031226e-02","1.631204e-01","2.630103e-02","1.029420e-01","1.152249e-02","3.009844e-08","6.758018e-01"
"mel428","2.177987e-02","1.912455e-02","1.915002e-01","5.888264e-02","1.194057e-01","1.060330e-02","1.507144e-10","5.787038e-01"
"mel375","4.713926e-09","1.654526e-02","2.402423e-01","4.361677e-02","1.163432e-01","1.663861e-02","1.007338e-06","5.666129e-01"
"mel227","2.577966e-10","2.814825e-02","1.186417e-01","8.684257e-08","1.966467e-01","1.197584e-02","1.764610e-03","6.428228e-01"
"mel271","8.500013e-10","1.751094e-02","1.385754e-01","6.927740e-07","9.810442e-02","1.135331e-02","6.408811e-07","7.344546e-01"
"mel260","5.981135e-10","2.687916e-02","1.782297e-01","5.264484e-08","1.856008e-01","1.212172e-02","3.421735e-06","5.971651e-01"
"mel165","2.951851e-03","2.298908e-02","2.372576e-01","5.767004e-02","1.335499e-01","1.463018e-02","1.406618e-09","5.309513e-01"
"mel092","1.208791e-09","2.474794e-02","9.771576e-02","1.710620e-08","1.346341e-01","1.095902e-02","1.096953e-04","7.318335e-01"
"mel265","5.731225e-02","2.810335e-02","2.438528e-01","1.005329e-01","1.736110e-01","1.319662e-02","1.082804e-09","3.833911e-01"
"mel142","5.613715e-07","2.744384e-02","9.452361e-02","4.774669e-08","1.881655e-01","9.928913e-03","1.722755e-09","6.799375e-01"
"mel004","9.173957e-09","3.097918e-02","2.635580e-01","2.471479e-02","1.349998e-01","1.449907e-02","8.735994e-09","5.312491e-01"
"mel342","9.109430e-10","2.047704e-02","3.588498e-02","9.797272e-09","1.092644e-01","6.538942e-03","1.611322e-03","8.262233e-01"
"mel245","3.759200e-02","2.181247e-02","2.304560e-01","2.123955e-02","1.307981e-01","1.404092e-02","1.678905e-10","5.440610e-01"
"mel270","1.449898e-02","2.209771e-02","1.587373e-01","3.105131e-08","1.267253e-01","8.400848e-03","2.635184e-10","6.695398e-01"
"mel281","8.873061e-02","2.570984e-02","2.861583e-01","1.548701e-01","1.441528e-01","1.500993e-02","4.439744e-10","2.853685e-01"
"mel374","2.653569e-09","2.162046e-02","1.116524e-01","3.600039e-08","1.321184e-01","1.017572e-02","3.433667e-04","7.240896e-01"
"mel370","1.095033e-02","1.866016e-02","2.461792e-01","5.479083e-02","1.128491e-01","1.113894e-02","8.050349e-10","5.454315e-01"
"mel363","6.775726e-03","2.522503e-02","2.041861e-01","1.316970e-01","1.527683e-01","1.319788e-02","2.394685e-08","4.661499e-01"
"mel080","5.172936e-09","2.666046e-02","1.811566e-01","3.512077e-10","1.180263e-01","1.032866e-02","2.633843e-09","6.638280e-01"
"mel348","0.0241895973","0.0241568491","0.2317434047","0.1422271005","0.1914211029","0.0154662089","0.0006238231","0.3701719136"
"mel018","8.652345e-08","1.852510e-02","1.577437e-01","4.995050e-02","1.412451e-01","1.211996e-02","4.774833e-10","6.204155e-01"
"mel136","2.872263e-09","1.675054e-02","1.408261e-01","4.150206e-08","1.470168e-01","1.187304e-02","7.595157e-06","6.835258e-01"
"mel054","6.678382e-02","2.250716e-02","3.321965e-01","9.374171e-02","1.494839e-01","1.199618e-02","1.240382e-10","3.232907e-01"
"mel194","3.591761e-02","3.054035e-02","2.189576e-01","1.125392e-02","2.164825e-01","1.079157e-02","1.720804e-09","4.760564e-01"
"mel444","4.970203e-09","1.712616e-02","2.986438e-01","4.836626e-10","8.349286e-02","1.135062e-02","4.027509e-09","5.893866e-01"
"mel117","5.686002e-02","2.643689e-02","2.822556e-01","1.787195e-01","1.956296e-01","1.675937e-02","1.160321e-09","2.433389e-01"
"mel015","4.992452e-02","2.828478e-02","2.729854e-01","3.313784e-02","1.892516e-01","1.549660e-02","5.467070e-10","4.109193e-01"
"mel131","3.807876e-02","2.136597e-02","2.077813e-01","9.647384e-02","1.455444e-01","1.478493e-02","1.391898e-09","4.759708e-01"
"mel206","1.058030e-03","2.075076e-02","2.324442e-01","5.458799e-02","1.165484e-01","1.075857e-02","3.217459e-10","5.638521e-01"
"mel147","5.331677e-02","1.810470e-02","2.615577e-01","1.959089e-01","1.430274e-01","1.719736e-02","2.083077e-11","3.108872e-01"
"mel425","4.844708e-08","2.514457e-02","1.317653e-01","1.424379e-01","1.108947e-01","1.186992e-02","2.840960e-12","5.778876e-01"
"mel341","3.632782e-02","2.839231e-02","2.578490e-01","1.028629e-01","1.609073e-01","1.199005e-02","1.281549e-10","4.016706e-01"
"mel112","6.272437e-02","2.434563e-02","3.549601e-01","1.643349e-01","2.002671e-01","1.685144e-02","8.957371e-10","1.765164e-01"
"mel226","8.848633e-02","2.199396e-02","3.545373e-01","2.387810e-01","1.881284e-01","1.735134e-02","7.363755e-11","9.072169e-02"
"mel399","5.560089e-09","3.004344e-02","2.845197e-01","6.081490e-02","1.678545e-01","1.529366e-02","1.250677e-09","4.414738e-01"
"mel189","1.131543e-01","1.823925e-02","3.629036e-01","1.275536e-01","1.742604e-01","1.482720e-02","3.693662e-10","1.890617e-01"
"mel212","7.275923e-03","2.087712e-02","2.235628e-01","1.028479e-01","1.120306e-01","1.489594e-02","4.507974e-09","5.185097e-01"
"mel060","1.074470e-01","2.874512e-02","3.262909e-01","6.060244e-02","1.960791e-01","1.133058e-02","6.075421e-10","2.695049e-01"
"mel280","4.599192e-02","1.963885e-02","1.471281e-01","2.809265e-07","1.226281e-01","7.533653e-03","3.025840e-10","6.570791e-01"
"mel012","7.780612e-02","1.944296e-02","2.522061e-01","1.331434e-01","1.345222e-01","1.455685e-02","2.379807e-09","3.683224e-01"
"mel025","6.703457e-03","2.336565e-02","2.011434e-01","3.315429e-08","1.322081e-01","1.181668e-02","3.670654e-08","6.247627e-01"
"mel338","3.346172e-02","2.128246e-02","2.634346e-01","2.073557e-01","1.574806e-01","1.452715e-02","2.114550e-10","3.024578e-01"
"mel228","1.776899e-02","2.656653e-02","1.567040e-01","4.924517e-08","1.935837e-01","1.360814e-02","2.855286e-07","5.917683e-01"
"mel304","7.049690e-02","2.577900e-02","2.181050e-01","1.283369e-01","1.700794e-01","1.373910e-02","3.205481e-09","3.734638e-01"
"mel344","4.243336e-02","2.308220e-02","2.688749e-01","1.727212e-01","1.531296e-01","1.653239e-02","1.820583e-09","3.232264e-01"
"mel225","3.675807e-02","2.259709e-02","2.357492e-01","1.232224e-01","1.283115e-01","1.540128e-02","1.444567e-09","4.379605e-01"
"mel140","6.624160e-02","3.099166e-02","2.778914e-01","1.307717e-01","2.334176e-01","1.269176e-02","3.512652e-10","2.479943e-01"
"mel118","2.928022e-06","2.785221e-02","1.650308e-01","9.207141e-09","1.741026e-01","1.208255e-02","2.631160e-09","6.209289e-01"
"mel328","1.015134e-02","1.987581e-02","2.898526e-01","8.786848e-02","1.557234e-01","1.902584e-02","6.973480e-10","4.175025e-01"
"mel466","4.696532e-02","2.639770e-02","2.874090e-01","2.492925e-01","1.635714e-01","1.799974e-02","9.903899e-11","2.083643e-01"
"mel020","1.507066e-04","2.682454e-02","1.420083e-01","2.808387e-08","1.461279e-01","1.268964e-02","2.544612e-09","6.721988e-01"
"mel364","5.639237e-02","2.082593e-02","2.122196e-01","1.367731e-01","1.485943e-01","1.564891e-02","9.464197e-10","4.095458e-01"
"mel056","9.366543e-02","2.220153e-02","3.287924e-01","9.353202e-02","1.714276e-01","1.533582e-02","3.821974e-10","2.750452e-01"
"mel034","3.123778e-10","1.835777e-02","1.028227e-02","3.337144e-07","1.467448e-01","4.809930e-03","3.717436e-06","8.198011e-01"
"mel238","4.470523e-07","2.098844e-02","1.600197e-01","1.207899e-09","1.287448e-01","9.986634e-03","5.506908e-07","6.802594e-01"
"mel294","7.734598e-02","2.497309e-02","2.713601e-01","1.658494e-01","1.697916e-01","1.569672e-02","3.207587e-10","2.749831e-01"
"mel451","3.027776e-02","2.965838e-02","2.495924e-01","3.037384e-02","1.615734e-01","1.261925e-02","1.407912e-09","4.859049e-01"
"mel287","1.079178e-08","2.082430e-02","1.966996e-01","1.805913e-08","1.433630e-01","1.291407e-02","1.699520e-04","6.260291e-01"
"mel343","4.981969e-02","2.707398e-02","2.634178e-01","2.287706e-01","1.577830e-01","2.005792e-02","1.125298e-09","2.530770e-01"
"mel320","1.481232e-09","2.664878e-02","1.682747e-01","8.501645e-02","1.245475e-01","1.132551e-02","1.276129e-08","5.841871e-01"
"mel395","1.347479e-01","1.994699e-02","4.119184e-01","1.202731e-01","1.533877e-01","1.342868e-02","5.644563e-10","1.462972e-01"
"mel378","5.951113e-02","2.424586e-02","2.899166e-01","1.892835e-01","1.287014e-01","1.650053e-02","7.044544e-10","2.918410e-01"
