"","stroma score","immune score","estimate score","tumor purity"
"mel354","-1375.8800960","-1184.4022254","-2560.2823214","    0.9738559"
"mel432","-204.4030124","1197.2439698"," 992.8409574","   0.7311947"
"mel243","-666.1106287"," 328.6320923","-337.4785364","   0.8496636"
"mel321"," -616.3969956","-1382.1431087","-1998.5401042","    0.9518367"
"mel218","-1101.5637294","-1378.8678708","-2480.4316003","    0.9711264"
"mel302"," 354.7384630","1417.3417175","1772.0801805","   0.6485579"
"mel383","-1156.1395352"," -796.5841784","-1952.7237136","    0.9497532"
"mel428"," -894.7969473"," -312.0290747","-1206.8260219","    0.9098644"
"mel375","-204.4997905"," 312.4341515"," 107.9343610","   0.8133955"
"mel227"," -418.5098977"," -633.3219487","-1051.8318464","    0.9001901"
"mel271"," -957.8459538","-1153.6091455","-2111.4550994","    0.9567876"
"mel260"," -10.5889558","-868.2626723","-878.8516280","   0.8888432"
"mel165","-597.5658070"," 163.1225562","-434.4432508","   0.8570829"
"mel092"," -780.964034","-1005.899198","-1786.863232","    0.941852"
"mel265","140.5255233","171.5089433","312.0344665","  0.7956053"
"mel142"," -774.9355265"," -729.4884907","-1504.4240172","    0.9271154"
"mel004","-264.9165108","  47.4558399","-217.4606710","   0.8402422"
"mel342","-1404.2433617","-1033.2072768","-2437.4506384","    0.9696019"
"mel245","-480.478171","-272.533403","-753.011573","   0.880228"
"mel270","-1343.644798"," -947.581883","-2291.226681","    0.964127"
"mel281"," 421.4098075","1775.4569114","2196.8667189","   0.5998668"
"mel374","-1126.4775374","-1194.0746437","-2320.5521810","    0.9652607"
"mel370"," -993.5812749"," -280.2450181","-1273.8262930","    0.9139009"
"mel363","-466.089990"," 438.078886"," -28.011104","   0.824841"
"mel080"," -850.4232608"," -796.2504222","-1646.6736830","    0.9347382"
"mel348"," 211.8184690","1278.4694557","1490.2879246","   0.6794789"
"mel018"," -820.9646975"," -760.2351721","-1581.1998696","    0.9312801"
"mel136"," -897.4228834","-1236.3128785","-2133.7357619","    0.9577335"
"mel054","-532.8594119"," 443.2837226"," -89.5756892","   0.8299164"
"mel194","1228.125405","-416.656860"," 811.468546","   0.749095"
