"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"mel354","0.021377109","0.002039307","0.000000000","0.126842978","0.000000000","0.024156852","0.018631517","0.000000000","0.021743201","0.001024580","0.784184456"
"mel432","0.01854551","0.04301297","0.01708342","0.00000000","0.34120435","0.02114127","0.00000000","0.07291529","0.02202805","0.00000000","0.46406914"
"mel243","0.04764616","0.02098516","0.02779047","0.10392009","0.03470929","0.03566394","0.00000000","0.03014791","0.03834929","0.00000000","0.66078768"
"mel321","0.00000000","0.00000000","0.00000000","0.39870751","0.00000000","0.08213020","0.04574900","0.00000000","0.01078229","0.00000000","0.46263099"
"mel218","0.009007047","0.000000000","0.000000000","0.204656682","0.280710458","0.070286909","0.057300099","0.000000000","0.013171249","0.000000000","0.364867556"
"mel302","0.01808958","0.03284341","0.04010179","0.21159153","0.02717008","0.02950473","0.03686692","0.14733228","0.02993657","0.00000000","0.42656311"
"mel383","0.011320168","0.000000000","0.000000000","0.417267219","0.000000000","0.051125800","0.026084474","0.004505305","0.004214985","0.000000000","0.485482049"
"mel428","0.000000000","0.000000000","0.000000000","0.362499654","0.000000000","0.073760463","0.133113095","0.001726796","0.018790563","0.000000000","0.410109429"
"mel375","0.004665177","0.078544960","0.000000000","0.487004461","0.000000000","0.089595345","0.000000000","0.000000000","0.029655567","0.000000000","0.310534491"
"mel227","0.01063947","0.01285310","0.00000000","0.19557828","0.00000000","0.02411294","0.02346879","0.00000000","0.02566791","0.00000000","0.70767950"
"mel271","0.000000e+00","0.000000e+00","0.000000e+00","9.147617e-01","0.000000e+00","8.523825e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.220446e-16"
"mel260","0.01770354","0.00000000","0.00000000","0.66013175","0.00000000","0.10074968","0.00000000","0.00000000","0.01845898","0.00000000","0.20295605"
"mel165","0.02431985","0.02860297","0.00000000","0.21432271","0.03564642","0.03865661","0.13210460","0.01137043","0.02225797","0.00000000","0.49271845"
"mel092","0.012329106","0.000000000","0.000000000","0.415426835","0.000000000","0.073897642","0.008656224","0.000000000","0.008751029","0.000000000","0.480939164"
"mel265","0.03431516","0.01979700","0.00000000","0.44164352","0.00000000","0.07025110","0.00000000","0.03732280","0.04738171","0.00000000","0.34928872"
"mel142","0.01132741","0.05358198","0.00000000","0.33277851","0.00000000","0.05867532","0.02895804","0.00000000","0.00000000","0.00000000","0.51467874"
"mel004","0.004027030","0.019888350","0.141051944","0.107182092","0.000000000","0.019572334","0.059142638","0.009112666","0.017764403","0.060227033","0.562031509"
"mel342","0.019848787","0.004363491","0.000000000","0.231169053","0.050218912","0.026977845","0.080771179","0.000000000","0.014044007","0.000000000","0.572606726"
"mel245","0.007397102","0.000000000","0.000000000","0.439103502","0.000000000","0.072090802","0.000000000","0.000000000","0.009722410","0.000000000","0.471686184"
"mel270","0.0322320896","0.0000000000","0.0000000000","0.1377723901","0.0000000000","0.0318405839","0.0633625547","0.0008147119","0.0084080434","0.0784453055","0.6471243210"
"mel281","0.0898812481","0.0777820838","0.0008860914","0.2889056266","0.0000000000","0.0398597986","0.0000000000","0.1583307997","0.0862478882","0.0000000000","0.2581064635"
"mel374","0.018169449","0.000000000","0.000000000","0.380302242","0.000000000","0.060558129","0.000000000","0.000000000","0.004479773","0.000000000","0.536490407"
"mel370","0.03990939","0.00000000","0.00000000","0.30377914","0.00000000","0.04974209","0.01533723","0.01091163","0.03258505","0.00000000","0.54773547"
"mel363","0.029913554","0.019180766","0.007694489","0.036934721","0.268070319","0.004816665","0.156348135","0.050451580","0.020123686","0.015249673","0.391216411"
"mel080","0.04198246","0.00000000","0.00000000","0.30186216","0.00000000","0.04246461","0.15784068","0.00000000","0.01941937","0.00000000","0.43643072"
"mel348","0.009864657","0.013575928","0.000000000","0.493901693","0.000000000","0.062206335","0.000000000","0.099928067","0.036202859","0.000000000","0.284320461"
"mel018","0.028913635","0.000000000","0.174048220","0.000000000","0.000000000","0.050327123","0.000000000","0.009249318","0.000000000","0.054034875","0.683426829"
"mel136","0.02636643","0.00000000","0.00000000","0.85323204","0.00000000","0.09297667","0.00000000","0.00000000","0.00000000","0.00000000","0.02742486"
"mel054","0.04540589","0.00000000","0.01369107","0.16410702","0.00000000","0.04292010","0.07686929","0.03087275","0.04026505","0.03080020","0.55506863"
"mel194","0.01347917","0.00000000","0.00000000","0.70086808","0.00000000","0.13505778","0.00000000","0.00000000","0.01561912","0.00000000","0.13497585"
"mel444","0.01324690","0.24006747","0.00000000","0.00000000","0.00000000","0.05948602","0.00000000","0.00000000","0.05727539","0.00000000","0.62992421"
"mel117","0.04216670","0.08506756","0.01122413","0.30812882","0.00000000","0.03402010","0.00000000","0.21673544","0.06106645","0.00000000","0.24159079"
"mel015","0.03576054","0.02008489","0.00000000","0.59721811","0.00000000","0.11842158","0.00000000","0.00000000","0.05935817","0.00000000","0.16915670"
"mel131","0.014533736","0.011397360","0.021702346","0.204694634","0.028247351","0.046430940","0.006626483","0.034273869","0.029282312","0.037536895","0.565274074"
"mel206","0.016017425","0.009082533","0.009953128","0.000000000","0.381732235","0.005680867","0.065285748","0.003951681","0.009744479","0.003420505","0.495131399"
"mel147","0.035044642","0.095528106","0.019221610","0.132788819","0.000000000","0.008087169","0.000000000","0.256596914","0.031951834","0.000000000","0.420780907"
"mel425","0.002967779","0.086059439","0.009469089","0.093680338","0.000000000","0.032399378","0.000000000","0.070941215","0.014446469","0.090030111","0.600006181"
"mel341","0.029011218","0.036671573","0.002508336","0.345934079","0.000000000","0.065400401","0.081646630","0.041741384","0.042701751","0.000000000","0.354384628"
"mel112","0.019802667","0.047406374","0.019438193","0.000000000","0.213631181","0.008711192","0.000000000","0.077749527","0.031067189","0.001220082","0.580973597"
"mel226","0.12173199","0.09673407","0.01396070","0.14549776","0.00000000","0.01846166","0.03542116","0.39481088","0.07906838","0.00000000","0.09431340"
"mel399","0.015411640","0.000000000","0.000000000","0.716024074","0.000000000","0.167242601","0.000000000","0.005058576","0.042277107","0.000000000","0.053986002"
"mel189","0.213713082","0.031039779","0.006569711","0.125095563","0.000000000","0.025578545","0.048690604","0.057207539","0.098534177","0.026449925","0.367121076"
"mel212","0.001266398","0.225771402","0.000000000","0.286721063","0.000000000","0.039624553","0.000000000","0.049258905","0.067131273","0.000000000","0.330226407"
