"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","entrez_symbol"
"ENSG00000184330",-5.85938208017794,-4.37692413482268,-16.4290636473891,3.39932556486973e-47,5.27793211190252e-43,96.4296753531201,"S100A7A","338324"
"ENSG00000143556",-7.11254036869973,-2.53488636364523,-16.4227151394908,3.62296273469421e-47,5.27793211190252e-43,96.4822052030183,"S100A7","6278"
"ENSG00000128422",-6.37016444607008,1.1360262724894,-16.1160346698604,7.81659705117616e-46,7.59147905610229e-42,93.4479270120807,"KRT17","3872"
"ENSG00000167754",-5.90242815526595,-3.90806967511582,-16.0544106237876,1.44670785868874e-45,1.05378200426888e-41,92.7496309869283,"KLK5","25818"
"ENSG00000175121",-4.85531992594712,-4.79933342094643,-15.7029783701639,4.79112287451956e-44,2.79188312144004e-40,89.2329175911166,"WFDC5","149708"
"ENSG00000185479",-7.10776416444714,-0.714994636313372,-15.6249167573533,1.03979371501153e-43,5.049238280096e-40,88.6052749968694,"KRT6B","3854"
"ENSG00000186847",-7.48705125193741,0.689170508052338,-15.6057780886398,1.25714439624524e-43,5.23259416128591e-40,88.4011200916822,"KRT14","3861"
"ENSG00000170454",-5.1285336712455,-4.34298122483076,-15.3798650760667,1.17618966351773e-42,4.28368275453156e-39,86.0971522257329,"KRT75","9119"
"ENSG00000105141",-6.33754001265885,-3.7227627906568,-15.367789251662,1.32519250274126e-42,4.2900898622077e-39,86.0316065840719,"CASP14","23581"
"ENSG00000264230",-4.36497523108333,-4.65147314271958,-15.2551085454778,4.02816368171354e-42,1.10864345734326e-38,84.8586610245411,"ANXA8L1","728113"
"ENSG00000188508",-6.06547840566256,-2.84861652561071,-15.2512193072908,4.18557043889891e-42,1.10864345734326e-38,84.915098692416,"KRTDAP","388533"
"ENSG00000178372",-6.44157740593866,-3.54840740008785,-14.954065066922,7.76445330627533e-41,1.88520926276365e-37,82.016227620934,"CALML5","51806"
"ENSG00000170465",-7.29694771337574,-2.40101735067771,-14.9216263161087,1.06691466853604e-40,2.3901331735531e-37,81.7308151184256,"KRT6C","286887"
"ENSG00000186832",-7.51376549502228,-0.856888123274141,-14.9141045438133,1.14847145901096e-40,2.3901331735531e-37,81.6513404018361,"KRT16","3868"
"ENSG00000230937",-4.8820613125819,-4.24552500254134,-14.8967983717685,1.3605234227159e-40,2.64268069628336e-37,81.4085614216846,"MIR205HG","642587"
"ENSG00000178934",-5.29812346375783,-3.70686946610522,-14.8897586042442,1.45757792313122e-40,2.65424939802195e-37,81.365552292752,"LGALS7","3963"
"ENSG00000188293",-4.47608105747204,-5.13572196935831,-14.8239473077653,2.77451153268978e-40,4.7551863539088e-37,80.6777430847477,"IGFL1","374918"
"ENSG00000265190",-4.52099294456398,-4.22116490893072,-14.7473719703358,5.86124749592745e-40,9.48740594674123e-37,79.9623094879867,"ANXA8","653145"
"ENSG00000137975",-4.37511750654318,-0.988503257928564,-14.6594230633259,1.38163652849418e-39,2.11870325758982e-36,79.1902734658409,"CLCA2","9635"
"ENSG00000124102",-5.32479872470134,-1.01957848549522,-14.5353533807813,4.61902079994727e-39,6.72898950136319e-36,77.9983253795494,"PI3","5266"
"ENSG00000188393",-2.31650206292902,-5.91592023970044,-14.4946795095912,6.8560516303898e-39,9.47565618374546e-36,77.4774539080045,"CLEC2A","387836"
"ENSG00000206075",-5.61407543901003,-2.9398314976665,-14.4863127277927,7.43597699724251e-39,9.47565618374546e-36,77.5068840652548,"SERPINB5","5268"
"ENSG00000205076",-4.86133761501278,-4.72302159502256,-14.4857031026774,7.48009652066672e-39,9.47565618374546e-36,77.4453208159956,"LGALS7","3963"
"ENSG00000134760",-5.83014964319093,-2.74926042923189,-14.4686535380369,8.8256267091243e-39,1.07143108248769e-35,77.3440085234851,"DSG1","1828"
"ENSG00000168703",-4.30495426517267,-5.1141893890698,-14.4587992833173,9.71077556389772e-39,1.1317326273189e-35,77.1721942081573,"WFDC12","128488"
"ENSG00000163207",-5.83621614629791,-2.90987492781087,-14.4447069910809,1.11326315552807e-38,1.24753981921022e-35,77.1119329201736,"IVL","3713"
"ENSG00000169469",-6.55298721245304,-2.87808255890402,-14.4344900338295,1.22916602062734e-38,1.29668352241635e-35,77.0223135878075,"SPRR1B","6699"
"ENSG00000185966",-4.35616429112439,-5.28341357009773,-14.4330761555887,1.24612639441439e-38,1.29668352241635e-35,76.9239715925627,"LCE3E","353145"
"ENSG00000163202",-4.98135812095819,-4.71700079895824,-14.4223653288477,1.38242575602713e-38,1.38890885612437e-35,76.8415404669879,"LCE3D","84648"
"ENSG00000206073",-5.06943824198013,-3.84444907391534,-14.3728401012064,2.23326553586949e-38,2.16894748843645e-35,76.3903943226323,"SERPINB4","6318"
"ENSG00000175793",-5.42841320976847,0.257031434511077,-14.3484727536281,2.82709362213919e-38,2.65710321853702e-35,76.1889734427502,"SFN","2810"
"ENSG00000229526",-2.66807977702607,-5.92035594944125,-14.2946861919353,4.75515214999703e-38,4.32956603257229e-35,75.5744609912671,"KRT16P4","339244"
"ENSG00000196754",-3.46192709147486,1.91050609816084,-14.2554501270179,6.9457375797971e-38,6.13245485227177e-35,75.2775886551582,"S100A2","6273"
"ENSG00000189334",-4.65722987618148,-0.966847606215274,-14.2372639580394,8.27824654390208e-38,7.09397033244503e-35,75.139732503176,"S100A14","57402"
"ENSG00000125998",-4.78237043482578,-4.22023628584459,-14.2284320804633,9.01450124875548e-38,7.50418595382114e-35,75.0004095547656,"FAM83C","128876"
"ENSG00000169035",-5.43563739962791,-3.70527783822952,-14.2064506499923,1.11430598027353e-37,9.01844973368047e-35,74.8134865136721,"KLK7","5650"
"ENSG00000171711",-3.56575606290399,-5.52583679251487,-14.1562524519162,1.8074336240224e-37,1.42328070458153e-34,74.2755324316574,"DEFB4A","1673"
"ENSG00000159527",-4.03477835338721,-5.09204996986771,-14.0798865563334,3.76815379138172e-37,2.88918233857099e-34,73.564540216489,"PGLYRP3","114771"
