"","V1","V2","V3","V4","V5","V6","V7","V8"
"cell_type","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel354","1.025579e-10","2.353855e-02","1.045116e-07","7.382235e-08","1.096048e-01","5.624555e-03","3.814432e-05","8.611937e-01"
"mel432","5.479552e-02","2.225976e-02","2.640453e-01","1.779707e-01","1.133828e-01","1.568347e-02","4.243849e-11","3.518624e-01"
"mel243","6.988778e-02","1.976871e-02","2.511736e-01","9.669438e-02","1.498643e-01","1.185345e-02","5.487604e-10","4.007578e-01"
"mel321","5.082280e-09","2.671251e-02","5.343004e-02","3.707480e-08","1.786378e-01","7.351363e-03","6.497756e-07","7.338675e-01"
"mel218","1.586768e-05","2.362098e-02","1.519758e-01","9.125375e-05","1.221051e-01","1.031969e-02","4.908923e-09","6.918713e-01"
"mel302","2.912382e-02","2.620097e-02","2.607680e-01","1.660340e-01","2.075935e-01","1.453858e-02","4.277598e-09","2.957411e-01"
"mel383","2.379470e-09","2.032216e-02","1.621568e-01","2.755524e-02","1.028785e-01","1.161366e-02","3.095212e-09","6.754736e-01"
"mel428","2.170585e-02","1.912937e-02","1.912476e-01","5.984125e-02","1.193831e-01","1.058645e-02","2.881960e-09","5.781064e-01"
"mel375","7.514271e-09","1.670616e-02","2.418829e-01","4.290063e-02","1.162844e-01","1.602388e-02","2.874051e-07","5.662017e-01"
"mel227","8.211786e-09","2.850303e-02","1.310815e-01","3.198236e-09","1.963273e-01","1.327962e-02","4.665012e-05","6.307618e-01"
"mel271","1.416792e-09","1.674721e-02","1.391327e-01","1.106642e-07","9.795760e-02","1.077802e-02","6.315170e-07","7.353837e-01"
"mel260","8.032422e-10","2.478761e-02","1.787130e-01","1.169728e-08","1.859885e-01","1.232258e-02","2.251059e-06","5.981861e-01"
"mel165","2.981748e-03","2.299630e-02","2.370290e-01","5.793548e-02","1.337125e-01","1.462914e-02","2.617203e-08","5.307157e-01"
"mel092","5.899655e-06","2.436160e-02","9.858915e-02","1.793030e-07","1.354029e-01","1.097668e-02","4.512247e-10","7.306636e-01"
"mel265","5.756868e-02","2.795869e-02","2.437603e-01","1.008257e-01","1.738406e-01","1.320693e-02","9.120124e-10","3.828392e-01"
"mel142","9.339472e-09","2.921777e-02","9.379274e-02","6.433587e-08","1.880328e-01","9.697403e-03","3.475656e-08","6.792592e-01"
"mel004","8.181303e-09","3.069388e-02","2.641792e-01","2.464271e-02","1.358698e-01","1.446739e-02","1.959118e-09","5.301470e-01"
"mel342","2.171188e-07","2.057945e-02","4.481901e-02","3.255573e-05","1.102071e-01","6.486456e-03","4.019743e-04","8.174732e-01"
"mel245","3.748271e-02","2.182766e-02","2.306210e-01","2.182845e-02","1.305599e-01","1.444583e-02","8.506513e-09","5.432345e-01"
"mel270","1.411710e-02","2.177562e-02","1.591255e-01","1.006865e-07","1.262210e-01","8.372165e-03","1.171947e-05","6.703769e-01"
"mel281","8.913646e-02","2.541454e-02","2.854767e-01","1.551778e-01","1.442888e-01","1.503496e-02","1.860078e-09","2.854707e-01"
"mel374","8.338523e-06","2.069765e-02","1.152135e-01","4.368997e-05","1.321669e-01","1.064906e-02","4.786691e-11","7.212209e-01"
"mel370","1.133161e-02","1.868691e-02","2.455655e-01","5.561815e-02","1.129744e-01","1.122679e-02","1.750239e-09","5.445966e-01"
"mel363","6.774721e-03","2.529394e-02","2.034516e-01","1.321277e-01","1.527854e-01","1.319312e-02","5.500917e-09","4.663735e-01"
"mel080","1.382077e-07","2.572793e-02","1.809263e-01","2.842286e-08","1.181448e-01","1.045817e-02","2.192077e-10","6.647426e-01"
"mel348","0.0242096947","0.0241693224","0.2317693870","0.1422732549","0.1915269185","0.0154738790","0.0006263602","0.3699511833"
"mel018","2.788258e-08","1.906642e-02","1.571915e-01","5.062320e-02","1.410093e-01","1.213839e-02","3.703675e-09","6.199711e-01"
"mel136","3.498134e-06","1.706029e-02","1.405958e-01","1.607790e-08","1.465646e-01","1.216916e-02","4.407148e-10","6.836066e-01"
"mel054","6.657567e-02","2.241962e-02","3.314250e-01","9.495904e-02","1.495297e-01","1.200379e-02","4.489908e-10","3.230872e-01"
"mel194","3.608715e-02","3.058388e-02","2.180182e-01","1.225411e-02","2.162620e-01","1.072670e-02","1.499926e-10","4.760680e-01"
"mel444","7.632439e-05","1.572886e-02","2.974921e-01","1.194243e-07","8.426519e-02","1.161721e-02","1.933085e-09","5.908202e-01"
"mel117","5.742221e-02","2.598800e-02","2.809781e-01","1.791844e-01","1.960313e-01","1.677057e-02","6.728068e-10","2.436254e-01"
"mel015","5.013596e-02","2.845097e-02","2.737698e-01","3.187173e-02","1.896501e-01","1.554569e-02","9.726042e-10","4.105758e-01"
"mel131","3.762485e-02","2.154473e-02","2.085707e-01","9.575121e-02","1.450526e-01","1.500412e-02","3.958576e-09","4.764517e-01"
"mel206","1.404915e-03","2.078866e-02","2.324288e-01","5.468393e-02","1.166650e-01","1.071125e-02","5.897975e-09","5.633174e-01"
"mel147","5.327955e-02","1.808818e-02","2.630260e-01","1.955578e-01","1.430909e-01","1.718321e-02","5.175861e-10","3.097744e-01"
"mel425","1.894456e-08","2.583292e-02","1.330168e-01","1.412298e-01","1.110859e-01","1.203360e-02","6.344536e-10","5.768010e-01"
"mel341","3.636268e-02","2.862744e-02","2.574008e-01","1.017194e-01","1.605789e-01","1.265708e-02","1.170075e-09","4.026537e-01"
"mel112","6.232800e-02","2.438210e-02","3.556598e-01","1.645612e-01","2.007453e-01","1.686619e-02","1.073313e-08","1.754574e-01"
"mel226","8.883345e-02","2.216961e-02","3.565447e-01","2.384137e-01","1.892756e-01","1.738530e-02","7.774040e-10","8.737770e-02"
"mel399","6.993398e-09","2.951386e-02","2.827531e-01","6.212199e-02","1.679944e-01","1.559139e-02","2.284000e-12","4.420252e-01"
"mel189","1.127800e-01","1.854361e-02","3.651219e-01","1.257798e-01","1.739763e-01","1.394852e-02","1.616282e-10","1.898499e-01"
"mel212","7.262154e-03","2.064217e-02","2.226148e-01","1.032954e-01","1.122589e-01","1.486382e-02","1.480849e-09","5.190627e-01"
"mel060","1.068598e-01","2.817432e-02","3.277209e-01","5.980140e-02","1.946112e-01","1.140984e-02","1.307497e-09","2.714225e-01"
"mel280","4.442298e-02","2.076632e-02","1.475322e-01","8.510551e-09","1.231329e-01","7.713756e-03","9.075191e-10","6.564318e-01"
"mel012","7.785823e-02","1.937530e-02","2.535844e-01","1.325488e-01","1.342083e-01","1.441834e-02","3.683666e-09","3.680067e-01"
"mel025","7.299109e-03","2.336677e-02","1.995929e-01","1.347272e-07","1.325193e-01","1.140679e-02","1.874988e-09","6.258150e-01"
"mel338","3.355607e-02","2.128255e-02","2.639345e-01","2.062926e-01","1.579045e-01","1.447982e-02","8.382920e-10","3.025500e-01"
"mel228","1.703927e-02","2.662080e-02","1.582243e-01","7.029649e-08","1.946268e-01","1.364720e-02","5.618878e-10","5.898415e-01"
"mel304","7.053310e-02","2.580071e-02","2.180466e-01","1.288958e-01","1.700418e-01","1.376090e-02","9.156383e-10","3.729211e-01"
"mel344","4.259025e-02","2.307022e-02","2.704498e-01","1.719619e-01","1.529274e-01","1.656005e-02","2.785379e-09","3.224403e-01"
"mel225","3.640678e-02","2.267352e-02","2.356071e-01","1.222149e-01","1.295153e-01","1.538931e-02","5.587739e-10","4.381931e-01"
"mel140","6.590902e-02","3.099198e-02","2.776481e-01","1.327834e-01","2.338175e-01","1.264567e-02","1.628814e-08","2.462043e-01"
