"","Module","ENSEMBL","Symbol","ncbi","kTotal","kWithin","kOut","kDiff"
"ENSG00000000003","grey","ENSG00000000003","TSPAN6","7105",530.324997007919,NA,NA,NA
"ENSG00000000005","black","ENSG00000000005","TNMD","64102",562.400409635288,38.217100173687,524.183309461601,-485.966209287914
"ENSG00000000419","turquoise","ENSG00000000419","DPM1","8813",775.068910831192,328.092280641149,446.976630190043,-118.884349548894
"ENSG00000000457","turquoise","ENSG00000000457","SCYL3","57147",816.032262623289,344.586095938527,471.446166684762,-126.860070746235
"ENSG00000000460","cyan","ENSG00000000460","FIRRM","55732",695.656748434437,34.8068854714326,660.849862963005,-626.042977491572
"ENSG00000000938","yellow","ENSG00000000938","FGR","2268",1061.35909443555,590.722680747498,470.636413688049,120.086267059449
"ENSG00000000971","magenta","ENSG00000000971","CFH","3075",844.880600905016,49.3968053172396,795.483795587777,-746.086990270537
"ENSG00000001036","grey","ENSG00000001036","FUCA2","2519",546.675581681235,NA,NA,NA
"ENSG00000001084","turquoise","ENSG00000001084","GCLC","2729",697.643417651675,276.823799964246,420.81961768743,-143.995817723184
"ENSG00000001167","turquoise","ENSG00000001167","NFYA","4800",702.188871726755,256.73267689171,445.456194835045,-188.723517943335
"ENSG00000001460","grey","ENSG00000001460","STPG1","90529",493.314987456235,NA,NA,NA
"ENSG00000001461","turquoise","ENSG00000001461","NIPAL3","57185",603.70312780185,173.99110256746,429.71202523439,-255.72092266693
"ENSG00000001497","brown","ENSG00000001497","LAS1L","81887",643.739326717846,217.650784328155,426.088542389691,-208.437758061536
"ENSG00000001561","yellow","ENSG00000001561","ENPP4","22875",883.150723597327,184.009964622703,699.140758974624,-515.130794351921
"ENSG00000001617","midnightblue","ENSG00000001617","SEMA3F","6405",742.786292754119,29.938050624358,712.848242129761,-682.910191505403
"ENSG00000001626","blue","ENSG00000001626","CFTR","1080",610.778617077853,140.488389007724,470.290228070129,-329.801839062405
"ENSG00000001629","turquoise","ENSG00000001629","ANKIB1","54467",1146.85089314288,641.455983329752,505.39490981313,136.061073516623
"ENSG00000001630","pink","ENSG00000001630","CYP51A1","1595",616.008289917702,47.4277916759487,568.580498241753,-521.152706565805
"ENSG00000001631","turquoise","ENSG00000001631","KRIT1","889",1090.3418338282,439.156793763813,651.185040064385,-212.028246300572
"ENSG00000002016","blue","ENSG00000002016","RAD52","5893",773.723584152951,244.185346774182,529.538237378769,-285.352890604587
"ENSG00000002079","grey","ENSG00000002079","MYH16","84176",536.430095709449,NA,NA,NA
"ENSG00000002330","brown","ENSG00000002330","BAD","572",823.267305596247,379.357864707703,443.909440888543,-64.5515761808404
"ENSG00000002549","yellow","ENSG00000002549","LAP3","51056",789.828847576716,251.353585736015,538.475261840701,-287.121676104686
"ENSG00000002586","brown","ENSG00000002586","CD99","4267",666.595310469012,244.997875484351,421.597434984661,-176.599559500311
"ENSG00000002587","grey","ENSG00000002587","HS3ST1","9957",573.455567016494,NA,NA,NA
"ENSG00000002726","purple","ENSG00000002726","AOC1","26",693.143948252599,30.3024459558582,662.841502296741,-632.539056340882
"ENSG00000002745","purple","ENSG00000002745","WNT16","51384",724.230345316144,24.9983297094798,699.232015606665,-674.233685897185
"ENSG00000002746","black","ENSG00000002746","HECW1","23072",592.021450453362,27.8999552860705,564.121495167292,-536.221539881221
"ENSG00000002822","brown","ENSG00000002822","MAD1L1","8379",715.25998603146,277.762680604171,437.497305427289,-159.734624823118
"ENSG00000002834","salmon","ENSG00000002834","LASP1","3927",632.077002286818,28.2694053588863,603.807596927931,-575.538191569045
"ENSG00000002919","salmon","ENSG00000002919","SNX11","29916",678.116010404778,33.0470474603384,645.068962944439,-612.021915484101
"ENSG00000002933","yellow","ENSG00000002933","TMEM176A","55365",1009.33011347222,519.517580015501,489.812533456722,29.7050465587793
"ENSG00000003056","grey","ENSG00000003056","M6PR","4074",554.347760788317,NA,NA,NA
"ENSG00000003096","grey","ENSG00000003096","KLHL13","90293",591.371749365013,NA,NA,NA
"ENSG00000003137","black","ENSG00000003137","CYP26B1","56603",604.024238755593,35.103547289345,568.920691466248,-533.817144176903
"ENSG00000003147","grey","ENSG00000003147","ICA1","3382",524.828095833707,NA,NA,NA
"ENSG00000003249","brown","ENSG00000003249","DBNDD1","79007",601.272160997962,183.079646277995,418.192514719967,-235.112868441971
"ENSG00000003393","pink","ENSG00000003393","ALS2","57679",732.887785730407,59.058989058674,673.828796671733,-614.769807613059
"ENSG00000003400","yellow","ENSG00000003400","CASP10","843",878.429979932033,405.211524628678,473.218455303355,-68.0069306746774
"ENSG00000003402","yellow","ENSG00000003402","CFLAR","8837",827.59378507097,315.690373383157,511.903411687813,-196.213038304655
"ENSG00000003436","magenta","ENSG00000003436","TFPI","7035",808.735144037855,59.4954084711501,749.239735566705,-689.744327095555
